session_id,vehicle_id,vehicle_type,number_plate,entry_time,exit_time,crossing_duration,run_type,algorithm,created_at
session_1781681691774,v164,ev_scooter,KL87IX8666,0.0,181.8,181.8,baseline,fixed_time,2026-06-17T07:35:30.959095
session_1781681691774,v154,ev_scooter,TS02HH2165,0.0,182.0,182.0,baseline,fixed_time,2026-06-17T07:35:30.977171
session_1781681691774,v165,two_wheeler,DL67OH8140,0.0,182.8,182.8,baseline,fixed_time,2026-06-17T07:35:31.055923
session_1781681691774,v168,two_wheeler,UP30BA9254,0.0,186.8,186.8,baseline,fixed_time,2026-06-17T07:35:31.334250
session_1781681691774,v170,car,KA19BM4842,0.0,188.8,188.8,baseline,fixed_time,2026-06-17T07:35:31.473601
session_1781681691774,v173,two_wheeler,DL62JQ9701,0.0,192.8,192.8,baseline,fixed_time,2026-06-17T07:35:31.758320
session_1781681691774,v176,car,HR12LL2288,0.0,196.8,196.8,baseline,fixed_time,2026-06-17T07:35:32.098286
session_1781681691774,v181,car,TS15FO6303,0.0,202.8,202.8,baseline,fixed_time,2026-06-17T07:35:32.509391
session_1781681691774,v183,auto_rickshaw,MH61GI1595,0.0,204.8,204.8,baseline,fixed_time,2026-06-17T07:35:32.652667
session_1781681691774,v151,car,AP30GF3378,0.0,205.7,205.7,baseline,fixed_time,2026-06-17T07:35:32.655512
session_1781681691774,v152,two_wheeler,HR88ML4220,0.0,205.7,205.7,baseline,fixed_time,2026-06-17T07:35:32.677826
session_1781681691774,v155,two_wheeler,TS55RI4055,0.0,205.7,205.7,baseline,fixed_time,2026-06-17T07:35:32.691260
session_1781681691774,v184,car,MH24VQ6645,0.0,205.8,205.8,baseline,fixed_time,2026-06-17T07:35:32.767721
session_1781681691774,v159,two_wheeler,TS69DJ8000,0.0,205.9,205.9,baseline,fixed_time,2026-06-17T07:35:32.777733
session_1781681691774,v142,car,UP86PI1251,0.0,206.0,206.0,baseline,fixed_time,2026-06-17T07:35:32.779149
session_1781681691774,v153,car,UP27WB1718,0.0,206.5,206.5,baseline,fixed_time,2026-06-17T07:35:32.794213
session_1781681691774,v156,car,DL87IH3371,0.0,206.5,206.5,baseline,fixed_time,2026-06-17T07:35:32.806365
session_1781681691774,v161,two_wheeler,TN40CE7850,0.0,206.5,206.5,baseline,fixed_time,2026-06-17T07:35:32.829310
session_1781681691774,v166,car,TS54HT5608,0.0,206.5,206.5,baseline,fixed_time,2026-06-17T07:35:32.836636
session_1781681691774,v150,auto_rickshaw,TN64HW3188,0.0,206.7,206.7,baseline,fixed_time,2026-06-17T07:35:32.854744
session_1781681691774,v167,ev_scooter,GJ20PZ4154,0.0,206.7,206.7,baseline,fixed_time,2026-06-17T07:35:32.873429
session_1781681691774,v185,auto_rickshaw,UP81EN6204,0.0,206.8,206.8,baseline,fixed_time,2026-06-17T07:35:32.954697
session_1781681691774,v160,auto_rickshaw,KA54NS5003,0.0,207.0,207.0,baseline,fixed_time,2026-06-17T07:35:32.958800
session_1781681691774,v163,two_wheeler,UP60FL2111,0.0,207.1,207.1,baseline,fixed_time,2026-06-17T07:35:32.969877
session_1781681691774,v172,two_wheeler,KL30FW9988,0.0,207.2,207.2,baseline,fixed_time,2026-06-17T07:35:32.988752
session_1781681691774,v169,car,UP48KV1012,0.0,207.5,207.5,baseline,fixed_time,2026-06-17T07:35:32.988752
session_1781681691774,v171,car,UP17HH7734,0.0,207.5,207.5,baseline,fixed_time,2026-06-17T07:35:33.001262
session_1781681691774,v148,ev_scooter,UP69JK8202,0.0,207.8,207.8,baseline,fixed_time,2026-06-17T07:35:33.066888
session_1781681691774,v175,two_wheeler,AP06AF2698,0.0,207.9,207.9,baseline,fixed_time,2026-06-17T07:35:33.066888
session_1781681691774,v157,e_rickshaw,KL32AU1890,0.0,208.4,208.4,baseline,fixed_time,2026-06-17T07:35:33.084997
session_1781681691774,v174,car,MH12BS4907,0.0,208.4,208.4,baseline,fixed_time,2026-06-17T07:35:33.090791
session_1781681691774,v177,two_wheeler,KA05CP7720,0.0,210.3,210.3,baseline,fixed_time,2026-06-17T07:35:33.224198
session_1781681691774,v178,ev_scooter,TS54XG9933,0.0,211.5,211.5,baseline,fixed_time,2026-06-17T07:35:33.284916
session_1781681691774,v179,cab,GJ94RC3856,0.0,212.3,212.3,baseline,fixed_time,2026-06-17T07:35:33.351472
session_1781681691774,v190,two_wheeler,AP31BR1740,0.0,212.8,212.8,baseline,fixed_time,2026-06-17T07:35:33.418084
session_1781681691774,v180,two_wheeler,DL83FA8992,0.0,213.3,213.3,baseline,fixed_time,2026-06-17T07:35:33.430326
session_1781681691774,v191,car,AP47MV4241,0.0,214.8,214.8,baseline,fixed_time,2026-06-17T07:35:33.557961
session_1781681691774,v182,auto_rickshaw,MH38AA7721,0.0,216.4,216.4,baseline,fixed_time,2026-06-17T07:35:33.613889
session_1781681691774,v194,two_wheeler,MH51AX3405,0.0,217.8,217.8,baseline,fixed_time,2026-06-17T07:35:33.739367
session_1781681691774,v186,two_wheeler,TS77ZB9179,0.0,221.7,221.7,baseline,fixed_time,2026-06-17T07:35:33.928790
session_1781681691774,v187,delivery_bike,HR38ZM6461,0.0,221.9,221.9,baseline,fixed_time,2026-06-17T07:35:33.997908
session_1781681691774,v198,two_wheeler,TN15HB6241,0.0,222.8,222.8,baseline,fixed_time,2026-06-17T07:35:34.076589
session_1781681691774,v189,cab,TS92VA1949,0.0,223.9,223.9,baseline,fixed_time,2026-06-17T07:35:34.133163
session_1781681691774,v200,car,HR50TD9384,0.0,224.8,224.8,baseline,fixed_time,2026-06-17T07:35:34.192309
session_1781681691774,v202,car,GJ19UX2594,0.0,227.8,227.8,baseline,fixed_time,2026-06-17T07:35:34.381651
session_1781681691774,v192,car,TN14CD9455,0.0,228.3,228.3,baseline,fixed_time,2026-06-17T07:35:34.397184
session_1781681691774,v193,car,AP95NM9857,0.0,229.8,229.8,baseline,fixed_time,2026-06-17T07:35:34.545084
session_1781681691774,v195,delivery_bike,GJ75QC8548,0.0,231.1,231.1,baseline,fixed_time,2026-06-17T07:35:34.615586
session_1781681691774,v206,car,MH61KC1605,0.0,232.8,232.8,baseline,fixed_time,2026-06-17T07:35:34.739083
session_1781681691774,v208,car,AP20HO2258,0.0,234.8,234.8,baseline,fixed_time,2026-06-17T07:35:34.869836
session_1781681691774,v210,car,KA42SM5340,0.0,236.8,236.8,baseline,fixed_time,2026-06-17T07:35:35.021326
session_1781681691774,v196,two_wheeler,AP91IB7152,0.0,237.7,237.7,baseline,fixed_time,2026-06-17T07:35:35.031447
session_1781681691774,v188,delivery_bike,AP46OT9311,0.0,237.9,237.9,baseline,fixed_time,2026-06-17T07:35:35.112364
session_1781681691774,v199,two_wheeler,KA93BL7543,0.0,237.9,237.9,baseline,fixed_time,2026-06-17T07:35:35.120778
session_1781681691774,v201,auto_rickshaw,TN49UV5937,0.0,239.2,239.2,baseline,fixed_time,2026-06-17T07:35:35.193367
